t,x
0.4250574860,0.0126842710
0.4259999638,0.0127683205
0.4269424416,0.0128527370
0.4278849194,0.0129375214
0.4288273972,0.0130226744
0.4297698750,0.0131081967
0.4307123528,0.0131940891
0.4316548306,0.0132803524
0.4325973084,0.0133669873
0.4335397862,0.0134539946
0.4344822640,0.0135413750
0.4354247418,0.0136291294
0.4363672196,0.0137172584
0.4373096974,0.0138057628
0.4382521752,0.0138946435
0.4391946530,0.0139839010
0.4401371308,0.0140735363
0.4410796086,0.0141635500
0.4420220864,0.0142539430
0.4429645642,0.0143447159
0.4439070420,0.0144358695
0.4448495197,0.0145274046
0.4457919975,0.0146193220
0.4467344753,0.0147116223
0.4476769531,0.0148043064
0.4486194309,0.0148973750
0.4495619087,0.0149908289
0.4505043865,0.0150846688
0.4514468643,0.0151788955
0.4523893421,0.0152735096
0.4533318199,0.0153685121
0.4542742977,0.0154639035
0.4552167755,0.0155596848
0.4561592533,0.0156558566
0.4571017311,0.0157524197
0.4580442089,0.0158493748
0.4589866867,0.0159467226
0.4599291645,0.0160444641
0.4608716423,0.0161425998
0.4618141201,0.0162411305
0.4627565979,0.0163400571
0.4636990757,0.0164393801
0.4646415535,0.0165391005
0.4655840313,0.0166392189
0.4665265091,0.0167397361
0.4674689869,0.0168406528
0.4684114647,0.0169419697
0.4693539424,0.0170436877
0.4702964202,0.0171458075
0.4712388980,0.0172483298
0.4721813758,0.0173512554
0.4731238536,0.0174545849
0.4740663314,0.0175583193
0.4750088092,0.0176624591
0.4759512870,0.0177670051
0.4768937648,0.0178719582
0.4778362426,0.0179773190
0.4787787204,0.0180830882
0.4797211982,0.0181892667
0.4806636760,0.0182958552
0.4816061538,0.0184028543
0.4825486316,0.0185102649
0.4834911094,0.0186180877
0.4844335872,0.0187263234
0.4853760650,0.0188349728
0.4863185428,0.0189440366
0.4872610206,0.0190535155
0.4882034984,0.0191634104
0.4891459762,0.0192737218
0.4900884540,0.0193844507
0.4910309318,0.0194955976
0.4919734096,0.0196071634
0.4929158873,0.0197191488
0.4938583651,0.0198315545
0.4948008429,0.0199443813
0.4957433207,0.0200576299
0.4966857985,0.0201713010
0.4976282763,0.0202853953
0.4985707541,0.0203999137
0.4995132319,0.0205148568
0.5004557097,0.0206302254
0.5013981875,0.0207460203
0.5023406653,0.0208622420
0.5032831431,0.0209788915
0.5042256209,0.0210959693
0.5051680987,0.0212134763
0.5061105765,0.0213314132
0.5070530543,0.0214497807
0.5079955321,0.0215685795
0.5089380099,0.0216878104
0.5098804877,0.0218074741
0.5108229655,0.0219275714
0.5117654433,0.0220481029
0.5127079211,0.0221690694
0.5136503989,0.0222904717
0.5145928767,0.0224123104
0.5155353545,0.0225345863
0.5164778323,0.0226573001
0.5174203100,0.0227804525
0.5183627878,0.0229040444
0.5193052656,0.0230280763
0.5202477434,0.0231525490
0.5211902212,0.0232774633
0.5221326990,0.0234028199
0.5230751768,0.0235286195
0.5240176546,0.0236548628
0.5249601324,0.0237815506
0.5259026102,0.0239086835
0.5268450880,0.0240362623
0.5277875658,0.0241642878
0.5287300436,0.0242927606
0.5296725214,0.0244216815
0.5306149992,0.0245510512
0.5315574770,0.0246808704
0.5324999548,0.0248111399
0.5334424326,0.0249418603
0.5343849104,0.0250730324
0.5353273882,0.0252046569
